item_id,item_code,item_category,standard_cost,lead_time_days
1,ITEM_000001,Chemical,15.5,8
2,ITEM_000002,Gas,21.0,9
3,ITEM_000003,Equipment,26.5,10
4,ITEM_000004,Packaging,32.0,11
5,ITEM_000005,Wafer,37.5,12
6,ITEM_000006,Chemical,43.0,13
7,ITEM_000007,Gas,48.5,14
8,ITEM_000008,Equipment,54.0,15
9,ITEM_000009,Packaging,59.5,16
10,ITEM_000010,Wafer,65.0,17
11,ITEM_000011,Chemical,70.5,18
12,ITEM_000012,Gas,76.0,19
13,ITEM_000013,Equipment,81.5,20
14,ITEM_000014,Packaging,87.0,21
15,ITEM_000015,Wafer,92.5,22
16,ITEM_000016,Chemical,98.0,23
17,ITEM_000017,Gas,103.5,24
18,ITEM_000018,Equipment,109.0,25
19,ITEM_000019,Packaging,114.5,26
20,ITEM_000020,Wafer,120.0,27
21,ITEM_000021,Chemical,125.5,28
22,ITEM_000022,Gas,131.0,29
23,ITEM_000023,Equipment,136.5,30
24,ITEM_000024,Packaging,142.0,31
25,ITEM_000025,Wafer,147.5,32
26,ITEM_000026,Chemical,153.0,33
27,ITEM_000027,Gas,158.5,34
28,ITEM_000028,Equipment,164.0,35
29,ITEM_000029,Packaging,169.5,36
30,ITEM_000030,Wafer,175.0,7
31,ITEM_000031,Chemical,180.5,8
32,ITEM_000032,Gas,186.0,9
33,ITEM_000033,Equipment,191.5,10
34,ITEM_000034,Packaging,197.0,11
35,ITEM_000035,Wafer,202.5,12
36,ITEM_000036,Chemical,208.0,13
37,ITEM_000037,Gas,213.5,14
38,ITEM_000038,Equipment,219.0,15
39,ITEM_000039,Packaging,224.5,16
40,ITEM_000040,Wafer,230.0,17
41,ITEM_000041,Chemical,235.5,18
42,ITEM_000042,Gas,241.0,19
43,ITEM_000043,Equipment,246.5,20
44,ITEM_000044,Packaging,252.0,21
45,ITEM_000045,Wafer,257.5,22
46,ITEM_000046,Chemical,263.0,23
47,ITEM_000047,Gas,268.5,24
48,ITEM_000048,Equipment,274.0,25
49,ITEM_000049,Packaging,279.5,26
50,ITEM_000050,Wafer,285.0,27
51,ITEM_000051,Chemical,290.5,28
52,ITEM_000052,Gas,296.0,29
53,ITEM_000053,Equipment,301.5,30
54,ITEM_000054,Packaging,307.0,31
55,ITEM_000055,Wafer,312.5,32
56,ITEM_000056,Chemical,318.0,33
57,ITEM_000057,Gas,323.5,34
58,ITEM_000058,Equipment,329.0,35
59,ITEM_000059,Packaging,334.5,36
60,ITEM_000060,Wafer,340.0,7
61,ITEM_000061,Chemical,345.5,8
62,ITEM_000062,Gas,351.0,9
63,ITEM_000063,Equipment,356.5,10
64,ITEM_000064,Packaging,362.0,11
65,ITEM_000065,Wafer,367.5,12
66,ITEM_000066,Chemical,373.0,13
67,ITEM_000067,Gas,378.5,14
68,ITEM_000068,Equipment,384.0,15
69,ITEM_000069,Packaging,389.5,16
70,ITEM_000070,Wafer,395.0,17
71,ITEM_000071,Chemical,400.5,18
72,ITEM_000072,Gas,406.0,19
73,ITEM_000073,Equipment,411.5,20
74,ITEM_000074,Packaging,417.0,21
75,ITEM_000075,Wafer,422.5,22
76,ITEM_000076,Chemical,428.0,23
77,ITEM_000077,Gas,433.5,24
78,ITEM_000078,Equipment,439.0,25
79,ITEM_000079,Packaging,444.5,26
80,ITEM_000080,Wafer,450.0,27
81,ITEM_000081,Chemical,455.5,28
82,ITEM_000082,Gas,461.0,29
83,ITEM_000083,Equipment,466.5,30
84,ITEM_000084,Packaging,472.0,31
85,ITEM_000085,Wafer,477.5,32
86,ITEM_000086,Chemical,483.0,33
87,ITEM_000087,Gas,488.5,34
88,ITEM_000088,Equipment,494.0,35
89,ITEM_000089,Packaging,499.5,36
90,ITEM_000090,Wafer,505.0,7
91,ITEM_000091,Chemical,510.5,8
92,ITEM_000092,Gas,516.0,9
93,ITEM_000093,Equipment,521.5,10
94,ITEM_000094,Packaging,527.0,11
95,ITEM_000095,Wafer,532.5,12
96,ITEM_000096,Chemical,538.0,13
97,ITEM_000097,Gas,543.5,14
98,ITEM_000098,Equipment,549.0,15
99,ITEM_000099,Packaging,554.5,16
100,ITEM_000100,Wafer,10.0,17
101,ITEM_000101,Chemical,15.5,18
102,ITEM_000102,Gas,21.0,19
103,ITEM_000103,Equipment,26.5,20
104,ITEM_000104,Packaging,32.0,21
105,ITEM_000105,Wafer,37.5,22
106,ITEM_000106,Chemical,43.0,23
107,ITEM_000107,Gas,48.5,24
108,ITEM_000108,Equipment,54.0,25
109,ITEM_000109,Packaging,59.5,26
110,ITEM_000110,Wafer,65.0,27
111,ITEM_000111,Chemical,70.5,28
112,ITEM_000112,Gas,76.0,29
113,ITEM_000113,Equipment,81.5,30
114,ITEM_000114,Packaging,87.0,31
115,ITEM_000115,Wafer,92.5,32
116,ITEM_000116,Chemical,98.0,33
117,ITEM_000117,Gas,103.5,34
118,ITEM_000118,Equipment,109.0,35
119,ITEM_000119,Packaging,114.5,36
120,ITEM_000120,Wafer,120.0,7
121,ITEM_000121,Chemical,125.5,8
122,ITEM_000122,Gas,131.0,9
123,ITEM_000123,Equipment,136.5,10
124,ITEM_000124,Packaging,142.0,11
125,ITEM_000125,Wafer,147.5,12
126,ITEM_000126,Chemical,153.0,13
127,ITEM_000127,Gas,158.5,14
128,ITEM_000128,Equipment,164.0,15
129,ITEM_000129,Packaging,169.5,16
130,ITEM_000130,Wafer,175.0,17
131,ITEM_000131,Chemical,180.5,18
132,ITEM_000132,Gas,186.0,19
133,ITEM_000133,Equipment,191.5,20
134,ITEM_000134,Packaging,197.0,21
135,ITEM_000135,Wafer,202.5,22
136,ITEM_000136,Chemical,208.0,23
137,ITEM_000137,Gas,213.5,24
138,ITEM_000138,Equipment,219.0,25
139,ITEM_000139,Packaging,224.5,26
140,ITEM_000140,Wafer,230.0,27
141,ITEM_000141,Chemical,235.5,28
142,ITEM_000142,Gas,241.0,29
143,ITEM_000143,Equipment,246.5,30
144,ITEM_000144,Packaging,252.0,31
145,ITEM_000145,Wafer,257.5,32
146,ITEM_000146,Chemical,263.0,33
147,ITEM_000147,Gas,268.5,34
148,ITEM_000148,Equipment,274.0,35
149,ITEM_000149,Packaging,279.5,36
150,ITEM_000150,Wafer,285.0,7
151,ITEM_000151,Chemical,290.5,8
152,ITEM_000152,Gas,296.0,9
153,ITEM_000153,Equipment,301.5,10
154,ITEM_000154,Packaging,307.0,11
155,ITEM_000155,Wafer,312.5,12
156,ITEM_000156,Chemical,318.0,13
157,ITEM_000157,Gas,323.5,14
158,ITEM_000158,Equipment,329.0,15
159,ITEM_000159,Packaging,334.5,16
160,ITEM_000160,Wafer,340.0,17
161,ITEM_000161,Chemical,345.5,18
162,ITEM_000162,Gas,351.0,19
163,ITEM_000163,Equipment,356.5,20
164,ITEM_000164,Packaging,362.0,21
165,ITEM_000165,Wafer,367.5,22
166,ITEM_000166,Chemical,373.0,23
167,ITEM_000167,Gas,378.5,24
168,ITEM_000168,Equipment,384.0,25
169,ITEM_000169,Packaging,389.5,26
170,ITEM_000170,Wafer,395.0,27
171,ITEM_000171,Chemical,400.5,28
172,ITEM_000172,Gas,406.0,29
173,ITEM_000173,Equipment,411.5,30
174,ITEM_000174,Packaging,417.0,31
175,ITEM_000175,Wafer,422.5,32
176,ITEM_000176,Chemical,428.0,33
177,ITEM_000177,Gas,433.5,34
178,ITEM_000178,Equipment,439.0,35
179,ITEM_000179,Packaging,444.5,36
180,ITEM_000180,Wafer,450.0,7
181,ITEM_000181,Chemical,455.5,8
182,ITEM_000182,Gas,461.0,9
183,ITEM_000183,Equipment,466.5,10
184,ITEM_000184,Packaging,472.0,11
185,ITEM_000185,Wafer,477.5,12
186,ITEM_000186,Chemical,483.0,13
187,ITEM_000187,Gas,488.5,14
188,ITEM_000188,Equipment,494.0,15
189,ITEM_000189,Packaging,499.5,16
190,ITEM_000190,Wafer,505.0,17
191,ITEM_000191,Chemical,510.5,18
192,ITEM_000192,Gas,516.0,19
193,ITEM_000193,Equipment,521.5,20
194,ITEM_000194,Packaging,527.0,21
195,ITEM_000195,Wafer,532.5,22
196,ITEM_000196,Chemical,538.0,23
197,ITEM_000197,Gas,543.5,24
198,ITEM_000198,Equipment,549.0,25
199,ITEM_000199,Packaging,554.5,26
200,ITEM_000200,Wafer,10.0,27
201,ITEM_000201,Chemical,15.5,28
202,ITEM_000202,Gas,21.0,29
203,ITEM_000203,Equipment,26.5,30
204,ITEM_000204,Packaging,32.0,31
205,ITEM_000205,Wafer,37.5,32
206,ITEM_000206,Chemical,43.0,33
207,ITEM_000207,Gas,48.5,34
208,ITEM_000208,Equipment,54.0,35
209,ITEM_000209,Packaging,59.5,36
210,ITEM_000210,Wafer,65.0,7
211,ITEM_000211,Chemical,70.5,8
212,ITEM_000212,Gas,76.0,9
213,ITEM_000213,Equipment,81.5,10
214,ITEM_000214,Packaging,87.0,11
215,ITEM_000215,Wafer,92.5,12
216,ITEM_000216,Chemical,98.0,13
217,ITEM_000217,Gas,103.5,14
218,ITEM_000218,Equipment,109.0,15
219,ITEM_000219,Packaging,114.5,16
220,ITEM_000220,Wafer,120.0,17
221,ITEM_000221,Chemical,125.5,18
222,ITEM_000222,Gas,131.0,19
223,ITEM_000223,Equipment,136.5,20
224,ITEM_000224,Packaging,142.0,21
225,ITEM_000225,Wafer,147.5,22
226,ITEM_000226,Chemical,153.0,23
227,ITEM_000227,Gas,158.5,24
228,ITEM_000228,Equipment,164.0,25
229,ITEM_000229,Packaging,169.5,26
230,ITEM_000230,Wafer,175.0,27
231,ITEM_000231,Chemical,180.5,28
232,ITEM_000232,Gas,186.0,29
233,ITEM_000233,Equipment,191.5,30
234,ITEM_000234,Packaging,197.0,31
235,ITEM_000235,Wafer,202.5,32
236,ITEM_000236,Chemical,208.0,33
237,ITEM_000237,Gas,213.5,34
238,ITEM_000238,Equipment,219.0,35
239,ITEM_000239,Packaging,224.5,36
240,ITEM_000240,Wafer,230.0,7
241,ITEM_000241,Chemical,235.5,8
242,ITEM_000242,Gas,241.0,9
243,ITEM_000243,Equipment,246.5,10
244,ITEM_000244,Packaging,252.0,11
245,ITEM_000245,Wafer,257.5,12
246,ITEM_000246,Chemical,263.0,13
247,ITEM_000247,Gas,268.5,14
248,ITEM_000248,Equipment,274.0,15
249,ITEM_000249,Packaging,279.5,16
250,ITEM_000250,Wafer,285.0,17
251,ITEM_000251,Chemical,290.5,18
252,ITEM_000252,Gas,296.0,19
253,ITEM_000253,Equipment,301.5,20
254,ITEM_000254,Packaging,307.0,21
255,ITEM_000255,Wafer,312.5,22
256,ITEM_000256,Chemical,318.0,23
257,ITEM_000257,Gas,323.5,24
258,ITEM_000258,Equipment,329.0,25
259,ITEM_000259,Packaging,334.5,26
260,ITEM_000260,Wafer,340.0,27
261,ITEM_000261,Chemical,345.5,28
262,ITEM_000262,Gas,351.0,29
263,ITEM_000263,Equipment,356.5,30
264,ITEM_000264,Packaging,362.0,31
265,ITEM_000265,Wafer,367.5,32
266,ITEM_000266,Chemical,373.0,33
267,ITEM_000267,Gas,378.5,34
268,ITEM_000268,Equipment,384.0,35
269,ITEM_000269,Packaging,389.5,36
270,ITEM_000270,Wafer,395.0,7
271,ITEM_000271,Chemical,400.5,8
272,ITEM_000272,Gas,406.0,9
273,ITEM_000273,Equipment,411.5,10
274,ITEM_000274,Packaging,417.0,11
275,ITEM_000275,Wafer,422.5,12
276,ITEM_000276,Chemical,428.0,13
277,ITEM_000277,Gas,433.5,14
278,ITEM_000278,Equipment,439.0,15
279,ITEM_000279,Packaging,444.5,16
280,ITEM_000280,Wafer,450.0,17
281,ITEM_000281,Chemical,455.5,18
282,ITEM_000282,Gas,461.0,19
283,ITEM_000283,Equipment,466.5,20
284,ITEM_000284,Packaging,472.0,21
285,ITEM_000285,Wafer,477.5,22
286,ITEM_000286,Chemical,483.0,23
287,ITEM_000287,Gas,488.5,24
288,ITEM_000288,Equipment,494.0,25
289,ITEM_000289,Packaging,499.5,26
290,ITEM_000290,Wafer,505.0,27
291,ITEM_000291,Chemical,510.5,28
292,ITEM_000292,Gas,516.0,29
293,ITEM_000293,Equipment,521.5,30
294,ITEM_000294,Packaging,527.0,31
295,ITEM_000295,Wafer,532.5,32
296,ITEM_000296,Chemical,538.0,33
